,car_names ,car_prices,car_ratings,car_review
292,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,"-1,147"
293,KidsBug Remote Controlled Rock Crawler RC Monster Truck...,₹838,3.5,-208
294,Aavkar creation Big Rock Crawler Car 4x4 for Boys&Girls...,₹789,3.4,-15
295,ZUNBELLA 2in1 Automatic Convertible Transforming Robot ...,₹390,3.9,"-13,379"
296,TOIGEN Formula 1 Remote Control Racing car,₹953,3.4,-281
297,frendo HI SPEED RC CAR BUG Black Matt,₹949,3.3,-7
298,VikriDa Formula 1 smoke car-RE_Acq,₹959,3.6,-182
299,"VikriDa Gesture Sensing Stunt Rc Cars, 8Wd Rechargeable...","₹1,974",3.6,-311
300,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹524,3.8,"-2,468"
301,VikriDa Remote Control Extreme Drift Stunt Car for Kids...,"₹1,285",4.3,-19
302,Wembley Monster Truck Rechargeable Remote Control Car O...,"₹1,115",3.8,-78
303,frendo HI SPEED RC CAR LAM Black,₹949,4.1,-19
304,"ENGINEDIGITAL 4WD RC Drift Car with LED Lights, 30km/h ...","₹4,369",N/A,N/A
305,Wembley High Speed Mini 1:24 Scale Rechargeable Remote ...,₹544,3.8,"-17,550"
306,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4,-933
307,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹729,3.8,"-2,468"
308,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹363,3.5,"-52,302"
309,frendo High Speed 1:24 Rechargeable C type charging Min...,₹699,3.7,-898
310,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹699,3.8,"-2,468"
311,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
312,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹461,3.5,"-52,302"
313,UB Toys UB Toys Rechargeable 360 Remote Control Stunt C...,₹595,3.6,-409
314,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹386,3.6,"-15,021"
315,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
316,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹599,3.8,"-2,468"
317,frendo Off Roader Monster Truck Silver,"₹1,299",4.3,-7
318,"SHAILRON High-Speed RC Stunt Car, Finger Gesture Contro...","₹1,740",3.6,-7
319,APJ enterprise Remote Controlled Spray Racing Sports Ca...,"₹1,986",N/A,N/A
320,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹399,3.8,"-2,468"
321,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹310,3.5,"-52,302"
322,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹649,3.5,"-17,267"
323,WISHKEY Remote Control Super High Speed Racing Car With...,₹499,3.7,"-34,747"
324,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹313,3.6,"-15,021"
325,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
326,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹279,3.5,"-52,302"
327,GOODTIMES TOYS RC Car – Rechargeable Remote Control Rac...,₹279,N/A,N/A
328,fenterprises Remote Control Stunt Car 360° Rotation Mul...,₹445,3.9,"-3,718"
329,Xcillince Toys 4 Channel Remote control RC sports SUV F...,₹430,3.5,"-1,881"
330,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹853,3.5,"-17,267"
331,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,"-1,147"
332,Toys World 3D Fast Steering Remote Car,₹260,3.4,"-18,693"
333,TOYS TREK Remote Control Sports Racing Car,₹279,N/A,N/A
334,Xcillince Toys RC Car Chargable| Fun RC Toy and Gift fo...,₹447,3.4,"-1,340"
335,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹851,3.5,"-17,267"
336,frendo HI SPEED RC CAR LAM Black,₹949,4.1,-19
337,Delta Enterprises Remote Control Car,₹873,N/A,N/A
338,ctm toys Tesla Cybertruck High Speed RC 2.4GHz Long Bat...,₹884,N/A,N/A
339,magic toys High-Speed 4WD Spray RC Car - Remote Control...,"₹1,670",4,-64
340,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹853,3.5,"-17,267"
341,CADDLE & TOES New High Speed Sports Car With Rechargeab...,₹377,3.5,-550
342,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
343,Toyco Rechargeable Famous Remote Control Car with Smoke...,₹387,3.6,"-1,840"
344,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹536,3.5,"-52,302"
345,Toyco Rechargeable Famous Remote Control Car with Smoke...,₹387,3.6,"-1,840"
346,Wembley Rechargeable Adventure Jeep Off Roader All-Terr...,"₹1,102",4,-752
347,frendo Off Roader Monster Truck Black,"₹1,249",N/A,N/A
348,frendo High Speed 1:24 Rechargeable C type charging Min...,₹644,3.7,-214
349,Aavkar creation Off Roader Back Car 4x4 With Mist Smoke...,"₹1,337",3.3,-91
350,Xcillince Toys xt_Wireless Remote Control Fast Modern C...,₹267,N/A,N/A
351,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹699,3.8,"-2,468"
352,Just97 Rechargeable Farrari Style Remote Control Car Wi...,₹818,N/A,N/A
353,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹386,3.6,"-15,021"
354,Webby Remote Controlled Doors,₹816,3.9,-362
355,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹411,3.5,"-52,302"
356,"Royaldeals 1/16 Rc Drift Car Rc Cars, 2.4Ghz 4Wd High S...","₹3,254",N/A,N/A
357,VikriDa Remote Control car with Mist Smoke Spray Functi...,"₹1,040",3.6,-266
358,Aavkar creation Hand Gesture Sensor RC Stunt Car Double...,"₹1,697",3.6,-203
359,Goyal's Remote Control RC Stunt Car Vehicle 360° Rotati...,₹330,3.6,-599
360,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
361,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹421,3.5,"-52,302"
362,CADDLE & TOES Famous Car Remote Control 3D Car with LED...,₹411,3.4,"-10,953"
363,SJVJ R/c stunt car defender,"₹1,211",3.7,-12
364,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹396,3.6,"-15,021"
365,Miss & Chief 3D LED Lighting | high speed rechargeable ...,₹286,3.5,"-2,140"
366,CADDLE & TOES Remote Controlled Rock Crawler RC Monster...,₹705,3.5,"-19,765"
367,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,437",4.1,"-4,105"
368,Amayra Toy Car like Ferrari With open And Closed Doors ...,₹755,3.6,"-5,779"
369,VikriDa 2.4G 1:20 RC Car Stunt Spray Car with Light Bat...,₹748,3.6,-310
370,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹536,3.5,"-52,302"
371,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,-121
372,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,"-1,147"
373,KidsBug Remote Controlled Rock Crawler RC Monster Truck...,₹838,3.5,-208
374,Aavkar creation Big Rock Crawler Car 4x4 for Boys&Girls...,₹789,3.4,-15
375,ZUNBELLA 2in1 Automatic Convertible Transforming Robot ...,₹390,3.9,"-13,379"
376,TOIGEN Formula 1 Remote Control Racing car,₹953,3.4,-281
377,frendo HI SPEED RC CAR BUG Black Matt,₹949,3.3,-7
378,VikriDa Formula 1 smoke car-RE_Acq,₹959,3.6,-182
379,"VikriDa Gesture Sensing Stunt Rc Cars, 8Wd Rechargeable...","₹1,974",3.6,-311
380,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹524,3.8,"-2,468"
381,VikriDa Remote Control Extreme Drift Stunt Car for Kids...,"₹1,285",4.3,-19
382,Wembley Monster Truck Rechargeable Remote Control Car O...,"₹1,115",3.8,-78
383,frendo HI SPEED RC CAR LAM Black,₹949,4.1,-19
384,"ENGINEDIGITAL 4WD RC Drift Car with LED Lights, 30km/h ...","₹4,369",N/A,N/A
385,Wembley High Speed Mini 1:24 Scale Rechargeable Remote ...,₹544,3.8,"-17,550"
386,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4,-933
387,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹729,3.8,"-2,468"
388,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹363,3.5,"-52,302"
389,frendo High Speed 1:24 Rechargeable C type charging Min...,₹699,3.7,-898
390,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹699,3.8,"-2,468"
391,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
392,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹461,3.5,"-52,302"
393,UB Toys UB Toys Rechargeable 360 Remote Control Stunt C...,₹595,3.6,-409
394,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹386,3.6,"-15,021"
395,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
396,BACHCHARIDE Vande Bharat Express Toy Train –Model 105 B...,₹267,N/A,N/A
397,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹599,3.8,"-2,468"
398,"SHAILRON High-Speed RC Stunt Car, Finger Gesture Contro...","₹1,740",3.6,-7
399,APJ enterprise Remote Controlled Spray Racing Sports Ca...,"₹1,986",N/A,N/A
400,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹399,3.8,"-2,468"
401,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹310,3.5,"-52,302"
402,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹649,3.5,"-17,267"
403,WISHKEY Remote Control Super High Speed Racing Car With...,₹499,3.7,"-34,747"
404,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹313,3.6,"-15,021"
405,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
406,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹279,3.5,"-52,302"
407,GOODTIMES TOYS RC Car – Rechargeable Remote Control Rac...,₹279,N/A,N/A
408,fenterprises Remote Control Stunt Car 360° Rotation Mul...,₹445,3.9,"-3,718"
409,Xcillince Toys 4 Channel Remote control RC sports SUV F...,₹430,3.5,"-1,881"
410,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹853,3.5,"-17,267"
411,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,"-1,147"
412,Toys World 3D Fast Steering Remote Car,₹260,3.4,"-18,693"
413,TOYS TREK Remote Control Sports Racing Car,₹279,N/A,N/A
414,Xcillince Toys RC Car Chargable| Fun RC Toy and Gift fo...,₹447,3.4,"-1,340"
415,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹851,3.5,"-17,267"
416,frendo HI SPEED RC CAR LAM Black,₹949,4.1,-19
417,Delta Enterprises Remote Control Car,₹873,N/A,N/A
418,ctm toys Tesla Cybertruck High Speed RC 2.4GHz Long Bat...,₹884,N/A,N/A
419,magic toys High-Speed 4WD Spray RC Car - Remote Control...,"₹1,670",4,-64
420,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹853,3.5,"-17,267"
421,CADDLE & TOES New High Speed Sports Car With Rechargeab...,₹377,3.5,-550
422,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
423,Toyco Rechargeable Famous Remote Control Car with Smoke...,₹387,3.6,"-1,840"
424,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹536,3.5,"-52,302"
425,Toyco Rechargeable Famous Remote Control Car with Smoke...,₹387,3.6,"-1,840"
426,Wembley Rechargeable Adventure Jeep Off Roader All-Terr...,"₹1,102",4,-752
427,frendo Off Roader Monster Truck Black,"₹1,249",N/A,N/A
428,frendo High Speed 1:24 Rechargeable C type charging Min...,₹644,3.7,-214
429,Aavkar creation Off Roader Back Car 4x4 With Mist Smoke...,"₹1,337",3.3,-91
430,Xcillince Toys xt_Wireless Remote Control Fast Modern C...,₹267,N/A,N/A
431,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹699,3.8,"-2,468"
432,Just97 Rechargeable Farrari Style Remote Control Car Wi...,₹818,N/A,N/A
433,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹386,3.6,"-15,021"
434,Webby Remote Controlled Doors,₹816,3.9,-362
435,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹411,3.5,"-52,302"
436,"Royaldeals 1/16 Rc Drift Car Rc Cars, 2.4Ghz 4Wd High S...","₹3,254",N/A,N/A
437,VikriDa Remote Control car with Mist Smoke Spray Functi...,"₹1,040",3.6,-266
438,Aavkar creation Hand Gesture Sensor RC Stunt Car Double...,"₹1,697",3.6,-203
439,Goyal's Remote Control RC Stunt Car Vehicle 360° Rotati...,₹330,3.6,-599
440,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
441,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹421,3.5,"-52,302"
442,CADDLE & TOES Famous Car Remote Control 3D Car with LED...,₹411,3.4,"-10,953"
443,SJVJ R/c stunt car defender,"₹1,211",3.7,-12
444,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹396,3.6,"-15,021"
445,Miss & Chief 3D LED Lighting | high speed rechargeable ...,₹286,3.5,"-2,140"
446,CADDLE & TOES Remote Controlled Rock Crawler RC Monster...,₹705,3.5,"-19,765"
447,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,437",4.1,"-4,105"
448,Amayra Toy Car like Ferrari With open And Closed Doors ...,₹755,3.6,"-5,779"
449,VikriDa 2.4G 1:20 RC Car Stunt Spray Car with Light Bat...,₹748,3.6,-310
450,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹536,3.5,"-52,302"
451,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,-121
452,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,"-1,147"
453,KidsBug Remote Controlled Rock Crawler RC Monster Truck...,₹838,3.5,-208
454,Aavkar creation Big Rock Crawler Car 4x4 for Boys&Girls...,₹789,3.4,-15
455,ZUNBELLA 2in1 Automatic Convertible Transforming Robot ...,₹390,3.9,"-13,379"
